Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2006-01-03,10.817035675048828,10.827971374332087,10.394276088856138,10.501146834449989,524323152
2006-01-04,11.065820693969727,11.158275943193505,10.929374495553226,11.032517293127576,610844544
2006-01-05,11.214940071105957,11.222645068838247,10.972866753907185,11.08470808730879,431899668
2006-01-06,11.573330879211426,11.693621673211023,11.264648850443713,11.354866945943412,709565724
2006-01-09,11.604148864746094,11.765697152886572,11.456021575426881,11.591970515921545,511164324
2006-01-10,11.67523193359375,11.68740933634715,11.483361832094323,11.542512734851988,363520116
2006-01-11,11.721708297729492,11.808198450798582,11.660816547663112,11.71276064859468,359935704
2006-01-12,11.52287769317627,11.805214976145889,11.46994004458308,11.773650529051196,404606988
2006-01-13,11.587994575500488,11.603900874535794,11.472673433923632,11.539777481818856,305957736
2006-01-17,11.609367370605469,11.678709512097617,11.495538928455712,11.508710828714294,330481188
2006-01-18,11.057618141174316,11.367044604586294,11.01636064795824,11.117018133989886,818608572
2006-01-19,10.847355842590332,11.270862696998677,10.761612047503462,11.213201654668666,580910508
2006-01-20,9.928022384643555,10.936333502708317,9.810713182975832,10.903278251947727,1643023332
2006-01-23,10.624917030334473,10.647036579219264,10.0838537702344,10.124863114570005,908746344
2006-01-24,11.010893821716309,11.058612720162452,10.798395927653322,10.836919026309587,617965416
2006-01-25,10.761612892150879,11.289254234333312,10.667665895031796,11.215439683738708,748842408
2006-01-26,10.79317569732666,10.935338833905968,10.526993818842488,10.924154036875613,516526956
2006-01-27,10.773789405822754,10.891346744532054,10.661699916388892,10.811318950200018,337749912
2006-01-30,10.608016014099121,10.76857074784805,10.562783365545025,10.667913258368255,343212444
2006-01-31,10.75316047668457,10.925645403506964,10.53718374895637,10.701217330159684,881757360
2006-02-01,9.98568344116211,9.99115034395676,9.631270535663957,9.668799137436718,1083815100
2006-02-02,9.843021392822266,10.102990951742623,9.84152964464828,10.036383211846989,471835692
2006-02-03,9.482892990112305,9.78983510875053,9.259708510009391,9.782876458371494,730540728
2006-02-06,9.571124076843262,9.690421316184867,9.433434291824431,9.5763428278954,357258384
2006-02-07,9.144139289855957,9.536329891673914,9.030558986677795,9.518683691918142,664542792
2006-02-08,9.172968864440918,9.212984658267672,8.814828977761254,9.158057063972068,831331836
2006-02-09,8.916728973388672,9.305190692363187,8.850619417107534,9.225660135602046,476019504
2006-02-10,9.012164115905762,9.059138550851547,8.776800374684846,8.995761517623821,608331060
